instance,sense,status,objective,lp_root,lp_cuts,n_cuts,gap_pct,time_s
a05100,Min,Optimal,1698.0,1697.7272727272727,1697.7692307692307,1,0.0,2.1206820011138916
a05100,Max,Optimal,4456.0,4456.391304347826,4456.272727272728,1,0.0,0.04237079620361328
a05200,Min,Optimal,3235.0,3234.7391304347825,3235.0,2,0.0,0.05770301818847656
a05200,Max,Optimal,8788.0,8788.0,8788.0,0,0.0,0.05812501907348633
a10100,Min,Optimal,1360.0,1358.556923076923,1359.418918918919,9,0.0,0.06887507438659668
a10100,Max,Optimal,4700.0,4702.953333333333,4701.004,10,0.0,0.08252191543579102
a10200,Min,Optimal,2623.0,2623.0,2623.0,0,0.0,0.10260486602783203
a10200,Max,Optimal,9413.0,9413.0,9413.0,0,0.0,0.13933396339416504
a20100,Min,Optimal,1158.0,1157.08,1158.0,2,0.0,0.3827521800994873
a20100,Max,Optimal,4857.0,4858.147727272727,4857.066666666666,7,0.0,0.12538504600524902
a20200,Min,Optimal,2339.0,2337.327333333333,2338.4619883040937,7,0.0,0.3008251190185547
a20200,Max,Optimal,9666.0,9667.564538043478,9667.022222222222,10,0.0,0.434384822845459
b05100,Min,Optimal,1842.9999999999973,1831.3294504181601,1833.1979051885694,9,-1.4804580061415e-13,1.6201679706573486
b05100,Max,Optimal,4026.0,4036.9375,4036.586726196878,6,0.0,1.783869981765747
b05200,Min,Optimal,3552.0,3547.4115752374632,3547.8340891167186,14,0.0,5.337587833404541
b05200,Max,Optimal,8510.0,8514.872839506173,8514.177621655195,17,0.0,4.529572010040283
b10100,Min,Optimal,1407.0,1400.6719575609281,1403.7079194074563,24,0.0,0.22225284576416016
b10100,Max,Optimal,4633.000000000029,4639.6076786498525,4637.856099989636,30,6.281854188805029e-13,0.40830397605895996
b10200,Min,Optimal,2827.0000000000005,2815.0506728107584,2817.462448723299,21,1.608586313712289e-14,8.774531126022339
b10200,Max,Optimal,9256.0,9262.498098008064,9260.546779497987,25,0.0,1.8999149799346924
b20100,Min,Optimal,1166.0,1155.1814331117193,1161.4268173132189,37,0.0,0.3135688304901123
b20100,Max,Optimal,4817.0,4832.000016323175,4827.589953368851,45,0.0,2.7976131439208984
b20200,Min,Optimal,2338.9999999999845,2331.137984482653,2334.0206651891403,57,-6.610265040675409e-13,1.388627052307129
b20200,Max,Optimal,9682.0,9690.890968000089,9687.744617329137,46,0.0,2.7972970008850098
c05100,Min,Optimal,1930.9999999999998,1923.9750262881178,1925.45924796074,7,-1.1774918458996999e-14,0.7370729446411133
c05100,Max,Optimal,4411.0,4416.493646734056,4415.293691642618,10,0.0,0.46999597549438477
c05200,Min,Optimal,3456.0,3450.765286081075,3451.2014572057933,6,0.0,2.5827808380126953
c05200,Max,Optimal,8349.999999999998,8356.513102783647,8355.672617797381,8,-2.1784304234082115e-14,4.710802793502808
c10100,Min,Optimal,1402.0000000000014,1387.0097106207752,1389.154980284373,18,9.730685111693241e-14,2.3714759349823
c10100,Max,Optimal,4536.0,4548.974243992722,4546.532686289989,23,0.0,7.354496002197266
c10200,Min,Feasible,2807.0,2795.4079157533733,2797.0929428752365,24,0.03563791874554526,10.012483835220337
c10200,Max,Optimal,9259.0,9267.646946058125,9265.918055003018,33,0.0,4.717897891998291
d05100,Min,Feasible,6360.99999999977,6345.412611885934,6345.903506051319,10,0.1259247599523044,10.00266408920288
d05100,Max,Optimal,9147.0,9147.0,9147.0,0,0.0,0.031477928161621094
d05200,Min,Feasible,12755.0,12736.196081965434,12736.524930891293,8,0.10202479987443101,10.00765585899353
d05200,Max,Optimal,18750.0,18750.0,18750.0,0,0.0,0.057949066162109375
d10100,Min,Feasible,6378.0,6323.4560434453115,6325.218016754198,21,0.4725897920604915,10.00724196434021
d10100,Max,Optimal,10349.0,10349.0,10349.0,0,0.0,0.05346798896789551
d10200,Min,Feasible,12476.0,12418.362103134967,12419.39089751488,48,0.35392535392535396,10.00885009765625
d10200,Max,Optimal,20562.0,20562.0,20562.0,0,0.0,0.1116631031036377
e05100,Min,Optimal,12681.00000000088,12641.419125080414,12642.64376367615,2,6.942598149327297e-12,3.595329999923706
e05100,Max,Optimal,63228.0,63228.0,63228.0,0,0.0,0.031141042709350586
e05200,Min,Optimal,24932.0,24922.0,24922.0,0,0.008022462896109105,2.629967212677002
e05200,Max,Optimal,128648.0,128648.0,128648.0,0,0.0,0.060198068618774414
e10100,Min,Feasible,11593.999999999989,11543.054254892702,11543.054254892702,0,0.14684287812031688,10.040439128875732
e10100,Max,Optimal,81054.0,81054.0,81054.0,0,0.0,0.05653119087219238
e10200,Min,Feasible,23341.0,23293.856148538962,23294.36609748276,2,0.14587892049598833,10.009835004806519
e10200,Max,Optimal,164317.0,164317.0,164317.0,0,0.0,0.11844801902770996
